BIN	completeness	contamination	GC	N50	size (bp)	After/Before fold change	CheckM taxonomy	metaWRAP taxonomy	Consensus taxonomy (Taxator-tk + Kraken + metaWRAP)
bin.74	86	3.6	0.697	7676	2857481	0.449633775	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.20	85.94	0.895	0.697	4624	2951147	2.002462849	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.38	85.75	0.8	0.706	4801	2415797	13.53947423	Euryarchaeota	Bacteria	Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria
bin.37	84.9	2.361	0.678	4503	2488760	2.430755303	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.59	84.64	3.846	0.707	9296	2830978	1.045863461	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.4	84.03	0	0.449	13350	887108	0.175100948	Archaea	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea;Nanohaloarchaea archaeon SG9	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea
bin.47	82.99	1.766	0.65	6238	2722551	0.540753061	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.71	82.92	0.564	0.681	3181	2429326	0.330922695	Bacteria	Bacteria	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
bin.3	82.9	3.297	0.69	4364	3093298	3.133233363	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.80	82.87	2.765	0.697	8057	2446296	0.728650675	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.72	82.86	2.364	0.616	5154	3453679	2.645909209	Bacteria	Bacteria	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
bin.21	82.72	4.415	0.7	6886	2162581	8.478211496	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.29	82.27	6.242	0.708	4295	2400063	1.491796497	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae
bin.88	82.18	2.553	0.662	3574	2099664	0.851966363	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.31	81.87	5.46	0.677	4231	2422757	23.3076447	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.27	81.7	1.666	0.703	4157	2602580	3.931223074	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.32	81.54	1.6	0.697	4218	2612197	1.473420599	Euryarchaeota	Bacteria	Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria
bin.25	81.23	2.166	0.637	5164	2793438	8.504386452	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.87	81.04	3.133	0.613	5061	2694110	1.563521443	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.58	81.03	1.724	0.502	4473	785653	1.041828661	Bacteria	Bacteria	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales
bin.39	80.97	0	0.458	5268	616685	4.42993528	Bacteria	Bacteria	Bacteria;Proteobacteria;Gammaproteobacteria
bin.28	80.88	3.566	0.696	3806	2876592	1.088696312	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.11	80.08	2.23	0.688	3687	2200091	0.948856147	Gammaproteobacteria	Bacteria;Proteobacteria	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales
bin.14	79.5	1.306	0.647	5805	2613039	0.08901716	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.49	79.23	1.702	0.637	5323	2236126	22.36360785	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.40	79.2	1.333	0.643	4142	2119876	1.41164773	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.44	78.83	2.41	0.658	4365	4202192	0.109027534	Deltaproteobacteria	Bacteria	Bacteria;Proteobacteria;Deltaproteobacteria
bin.73	78.79	2.2	0.673	3724	1469027	2.841706973	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.45	78.78	0.982	0.667	4286	2172163	0.45491817	Halobacteriaceae	Archaea	Archaea;unclassified Archaea;unclassified Archaea
bin.57	78.67	2.281	0.693	5589	1966988	12.2381381	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halorubrum;Halorubrum trapanicum	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halorubrum;Halorubrum trapanicum
bin.78	78.5	3.503	0.652	5351	3330855	0.435455209	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.68	78.22	5	0.68	10518	2572786	0.277170466	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.52	78.01	1.066	0.677	3525	1618410	0.263887689	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.54	77.81	3.23	0.712	3975	2541424	0.159698867	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.48	76.91	2.301	0.69	3240	2189696	1.237213178	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.90	76.83	2.804	0.716	3265	2349948	2.670076624	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae
bin.85	76.7	6.373	0.678	4789	2117300	0.886312368	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.5	75.48	0.906	0.642	6027	2636077	0.005542521	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae
bin.91	75.41	1.646	0.701	3002	2346340	0.517660973	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.15	75.15	2.215	0.688	2789	2616278	0.520710667	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.64	75.1	1.533	0.658	3129	1918756	2.441232823	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.7	74.92	1.615	0.652	4719	2069396	0.096169606	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.23	74.77	2.2	0.688	4199	1595022	0.497326267	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.93	74.23	2	0.671	4858	2284265	2.743934319	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.89	74.15	4.964	0.704	4509	2540070	0.693086382	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.82	74.03	1.2	0.682	3137	2161520	1.984974476	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.75	73.94	2.021	0.67	2547	1954103	0.161516535	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.26	72.99	1.233	0.663	5746	1892619	8.245156458	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.30	72.47	1.8	0.657	3389	2173558	3.238619352	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.1	72.18	1.063	0.668	8025	1841689	1.823601466	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.41	71.72	4.715	0.625	2678	1945603	1.306808653	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.65	70.94	3.24	0.67	4890	2329581	1.398405368	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.43	70.83	2.222	0.647	3151	1667980	90.2212644	Cyanobacteria	Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae	Bacteria;Terrabacteria group;Cyanobacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Halothece cluster;Halothece
bin.92	70.58	4.895	0.705	3418	2602320	0.896755327	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
