2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
24	76	70	64	57	55	54	64	-	39	22	-	0	29.98	-	29.89	-	0	-
25	74	69	64	59	55	52	73	-	41	23	-	5	29.96	-	29.86	-	0	-
26	76	70	64	59	56	54	68	-	40	23	-	2	29.96	-	29.86	-	0	-
27	75	70	64	59	57	54	73	-	42	26	-	0	29.96	-	29.83	-	0	-
28	73	69	65	59	57	55	73	-	50	15	-	0	29.96	-	29.86	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Mar	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	73	70	67	59	58	57	68	-	50	13	-	0	30.04	-	29.92	-	0	-
2	77	72	66	58	55	52	64	-	33	21	-	0	30.05	-	29.91	-	0	-
3	77	70	64	59	55	50	83	-	34	23	-	6	30	-	29.89	-	0	-
4	74	69	64	61	59	55	73	-	51	23	-	7	29.98	-	29.86	-	0	-
5	76	70	63	61	57	54	78	-	44	22	-	2	30.01	-	29.89	-	0	-
6	75	70	64	60	58	55	78	-	45	24	-	5	30.03	-	29.92	-	0	-
7	74	69	64	59	58	57	78	-	50	21	-	0	30.01	-	29.89	-	0	-
8	72	68	63	59	57	55	77	-	51	15	-	0	30.01	-	29.89	-	0	-
9	75	70	64	59	57	55	73	-	41	24	-	0	30.02	-	29.89	-	0	-
10	76	70	65	59	57	54	73	-	44	16	-	0	30.04	-	29.95	-	0	-
11	75	70	65	61	56	52	73	-	41	24	-	5	30.04	-	29.86	-	0	-
12	75	70	64	59	57	55	73	-	46	22	-	2	29.98	-	29.83	-	0	-
13	75	70	65	59	57	55	73	-	46	23	-	0	29.99	-	29.89	-	0	-
14	77	70	63	58	57	55	73	-	42	18	-	2	30.01	-	29.89	-	0	-
15	76	69	62	59	56	53	77	-	36	22	-	0	29.96	-	29.86	-	0	-
16	72	67	62	61	56	52	73	-	46	23	-	0	29.95	-	29.83	-	0	-
17	74	68	62	59	55	52	77	-	41	85	-	1	29.92	-	29.83	-	0	-
18	74	68	61	57	55	52	77	-	40	23	-	2	29.94	-	29.83	-	0	-
19	77	70	62	57	55	53	77	-	37	25	-	4	29.95	-	29.86	-	0	-
20	79	71	63	57	55	54	77	-	35	24	-	0	29.92	-	29.77	-	0	-
21	78	70	63	58	56	54	77	-	33	21	-	5	29.95	-	29.83	-	0	-
22	77	70	64	59	55	53	77	-	36	23	-	2	30.02	-	29.89	-	0	-
23	77	70	62	61	56	52	88	-	42	24	-	1	30.01	-	29.86	-	0	-
24	74	68	61	57	56	54	77	-	42	24	-	0	30.01	-	29.89	-	0	-
25	73	66	60	59	56	53	77	-	49	15	-	0	30.04	-	29.92	-	0	-
26	72	66	61	59	55	52	77	-	44	21	-	1	30.02	-	29.89	-	0	-
27	72	66	61	57	55	52	73	-	49	17	-	0	29.98	-	29.86	-	0	-
28	72	66	61	56	55	54	73	-	47	18	-	0	29.98	-	29.86	-	0	-
29	71	66	60	57	54	50	77	-	47	24	-	2	29.95	-	29.83	-	0	-
30	77	68	60	57	53	48	77	-	26	16	-	0	30.04	-	29.89	-	0	-
31	73	66	60	57	54	48	77	-	44	25	-	5	30.04	-	29.92	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Apr	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	73	66	58	57	55	52	88	-	44	30	-	0	30.01	-	29.89	-	0	-
2	72	66	60	57	56	54	82	-	49	23	-	0	29.98	-	29.89	-	0	-
3	70	64	58	57	56	52	82	-	52	16	-	0	29.98	-	29.86	-	0	-
4	72	68	63	59	55	53	78	-	45	16	-	4	29.99	-	29.92	-	0	-
5	70	65	60	57	54	52	73	-	46	21	-	4	29.98	-	29.86	-	0	-
6	70	66	62	59	56	54	83	-	50	20	-	0	29.99	-	29.92	-	0	-
7	69	64	59	57	56	54	88	-	55	21	-	4	30.01	-	29.92	-	0	-
8	66	62	59	57	55	52	82	-	58	17	-	0	30.03	-	29.92	-	0	-
9	71	66	62	55	53	51	73	-	42	12	-	5	30.03	-	29.92	-	0	-
10	71	66	61	52	52	51	72	-	42	10	-	0	30.05	-	29.95	-	0	-
11	71	66	60	55	53	50	77	-	42	22	-	0	30.04	-	29.92	-	0	-
12	69	62	56	55	53	50	77	-	52	13	-	0	29.98	-	29.86	-	0	-
13	70	66	63	55	54	53	73	-	47	14	-	0	29.97	-	29.89	-	0	-
14	68	65	62	55	54	53	77	-	53	15	-	2	29.95	-	29.83	-	0	-
15	68	64	59	56	54	53	77	-	48	15	-	0	29.98	-	29.83	-	0	-
16	70	65	60	56	54	52	77	-	48	22	-	0	29.99	-	29.89	-	0	-
17	69	64	58	55	54	52	77	-	52	18	-	0	30.01	-	29.92	-	0	-
18	68	64	61	56	54	53	72	-	51	23	-	0	29.98	-	29.86	-	0	-
19	68	62	56	57	54	52	82	-	53	22	-	0	29.99	-	29.86	-	0	-
20	67	64	62	55	54	52	77	-	54	13	-	0	30.01	-	29.89	-	0	-
21	69	66	64	54	52	51	68	-	45	15	-	2	30.01	-	29.92	-	0	-
22	70	66	61	55	53	52	72	-	46	13	-	2	29.99	-	29.89	-	0	-
23	71	66	61	54	52	51	68	-	43	15	-	6	30.01	-	29.92	-	0	-
24	71	65	59	57	54	49	73	-	49	21	-	2	30.01	-	29.89	-	0	-
25	70	67	64	57	55	54	73	-	49	18	-	0	30.01	-	29.92	-	0	-
26	70	67	64	57	54	51	68	-	44	18	-	2	30.02	-	29.95	-	0	-
27	70	66	62	55	54	52	73	-	46	22	-	6	30.04	-	29.89	-	0	-
28	70	66	62	57	54	52	73	-	47	18	-	0	29.98	-	29.86	-	0	-
29	70	67	64	57	54	52	73	-	46	12	-	0	30.05	-	29.92	-	0	-
30	71	66	62	55	54	52	73	-	43	24	-	5	30.06	-	29.95	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
May	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	67	62	56	55	53	50	77	-	53	20	-	2	29.99	-	29.88	-	0	-
2	68	64	61	55	53	50	73	-	48	18	-	2	30.04	-	29.89	-	0	-
3	69	65	61	54	52	50	68	-	42	20	-	0	30.09	-	29.98	-	0	-
4	69	64	59	55	53	50	72	-	48	17	-	2	30.1	-	30.01	-	0	-
5	68	64	59	56	54	50	73	-	52	22	-	2	30.09	-	29.92	-	0	-
6	69	65	61	55	54	53	73	-	47	14	-	0	30.05	-	29.95	-	0	-
7	70	67	64	54	53	52	64	-	46	16	-	0	30.05	-	29.98	-	0	-
8	69	66	64	54	53	52	68	-	47	9	-	0	30.07	-	29.98	-	0	-
9	70	67	64	55	53	51	64	-	43	12	-	0	30.08	-	29.98	-	0	-
10	71	66	62	54	51	50	68	-	37	13	-	0	30.04	-	29.95	-	0	-
11	72	67	62	54	51	49	64	-	34	17	-	0	30.86	-	29.97	-	0	-
12	69	63	57	55	51	46	68	-	46	20	-	4	30.05	-	29.92	-	0	-
13	68	64	60	55	52	50	73	-	44	22	-	0	30.04	-	29.89	-	0	-
14	68	63	58	55	52	50	77	-	45	21	-	0	30.02	-	29.92	-	0	-
15	69	64	58	55	53	50	73	-	47	20	-	0	30.03	-	29.95	-	0	-
16	68	65	62	54	52	50	72	-	49	16	-	2	30.04	-	29.95	-	0	-
17	65	61	57	54	52	50	77	-	54	16	-	4	30.01	-	29.92	-	0	-
18	68	64	61	52	50	49	68	-	44	10	-	0	30.01	-	29.95	-	0	-
19	68	64	61	52	51	49	64	-	44	10	-	0	30.03	-	29.92	-	0	-
20	69	66	62	52	50	49	63	-	43	13	-	0	30.04	-	29.95	-	0	-
21	69	64	58	55	52	48	73	-	42	16	-	0	30.04	-	29.95	-	0	-
22	68	64	59	55	52	48	73	-	52	15	-	2	30.06	-	29.95	-	0	-
23	67	64	60	56	54	50	77	-	50	15	-	0	30.07	-	29.98	-	0	-
24	68	64	60	55	52	46	77	-	42	18	-	0	30.15	-	29.98	-	0	-
25	69	62	56	52	45	41	68	-	26	24	-	0	30.12	-	29.92	-	0	-
26	66	60	54	55	51	44	82	-	54	12	-	0	30.02	-	29.95	-	0	-
27	64	59	54	55	53	48	82	-	60	10	-	0	30.05	-	29.92	-	0	-
28	66	64	61	52	51	50	68	-	48	14	-	0	30.06	-	29.98	-	0	-
29	66	64	61	54	50	47	68	-	44	15	-	0	30.06	-	29.95	-	0	-
30	68	63	58	54	50	45	77	-	37	17	-	0	30.07	-	29.98	-	0	-
31	65	60	54	54	51	45	77	-	52	18	-	0	30.06	-	29.94	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Jun	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	66	62	59	54	51	50	72	-	51	10	-	0	30.01	-	29.89	-	0	-
2	65	62	59	52	51	49	72	-	49	9	-	0	30.02	-	29.89	-	0	-
3	66	64	60	52	50	47	68	-	44	16	-	0	30.02	-	29.95	-	0	-
4	66	63	60	54	51	48	68	-	46	21	-	0	30.01	-	29.89	-	0	-
5	65	63	61	52	50	48	68	-	47	15	-	0	29.99	-	29.92	-	0	-
6	64	62	60	52	50	48	68	-	47	16	-	0	30.05	-	29.95	-	0	-
7	64	61	58	50	47	45	68	-	44	15	-	0	30.13	-	30.01	-	0	-
8	62	58	54	52	48	44	72	-	48	13	-	0	30.09	-	30.01	-	0	-
9	64	60	57	52	49	46	72	-	46	15	-	2	30.09	-	29.98	-	0	-
10	64	59	54	52	49	46	72	-	49	21	-	4	30.06	-	29.95	-	0	-
11	64	60	55	54	51	48	77	-	56	14	-	4	30.08	-	29.95	-	0	-
12	64	62	59	52	49	48	72	-	47	20	-	0	30.08	-	30.01	-	0	-
13	63	60	56	54	50	43	77	-	52	15	-	0	30.05	-	29.95	-	0	-
14	63	61	59	52	50	49	68	-	53	8	-	0	30.04	-	29.92	-	0	-
15	64	62	60	52	51	50	72	-	51	14	-	0	30.04	-	29.89	-	0	-
16	64	62	60	52	50	49	68	-	51	9	-	0	29.96	-	29.83	-	0	-
17	66	64	61	54	52	50	72	-	53	13	-	5	29.99	-	29.89	-	0	-
18	65	63	61	54	52	50	72	-	51	12	-	0	30.04	-	29.89	-	0	-
19	65	62	58	54	53	50	72	-	56	13	-	0	30.03	-	29.92	-	0	-
20	68	64	61	54	53	51	72	-	46	13	-	0	30.01	-	29.92	-	0	-
21	67	64	62	56	53	50	77	-	46	20	-	0	30.04	-	29.92	-	0	-
22	65	62	60	52	51	50	68	-	50	15	-	2	30.03	-	29.92	-	0	-
23	65	63	61	52	50	49	68	-	50	12	-	0	30.07	-	29.98	-	0	-
24	64	62	61	52	50	49	68	-	48	16	-	0	30.07	-	29.98	-	0	-
25	62	61	60	54	51	50	77	-	54	12	-	0	30.16	-	29.98	-	0	-
26	64	60	56	52	51	47	72	-	47	23	-	7	30.2	-	30.12	-	0	-
27	64	59	54	50	48	45	77	-	43	26	-	0	30.16	-	30.06	-	0	-
28	62	56	50	50	47	42	76	-	48	12	-	0	30.1	-	29.95	-	0	-
29	61	58	56	50	47	46	68	-	51	9	-	0	30.13	-	30.04	-	0	-
30	61	60	58	50	47	46	72	-	51	16	-	0	30.11	-	29.98	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Jul	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	62	57	52	50	48	46	72	-	53	17	-	0	30.1	-	29.95	-	0	-
2	62	60	57	48	47	45	72	-	44	18	-	2	30.09	-	29.95	-	0	-
3	62	60	57	48	48	46	67	-	49	13	-	0	30.09	-	30.01	-	0	-
4	62	60	58	48	47	45	67	-	45	13	-	4	30.22	-	30.06	-	0	-
5	64	58	53	50	46	42	77	-	38	26	-	0	30.22	-	30.06	-	0	-
6	61	56	50	50	48	43	77	-	56	10	-	0	30.09	-	29.98	-	0	-
7	62	60	57	50	48	46	68	-	53	13	-	2	30.09	-	29.95	-	0	-
8	61	58	56	48	47	46	67	-	49	13	-	0	30.1	-	29.98	-	0	-
9	61	58	55	48	46	44	67	-	46	13	-	0	30.06	-	29.95	-	0	-
10	60	55	50	48	47	43	82	-	55	16	-	0	30.01	-	29.92	-	0	-
11	61	56	52	49	47	44	72	-	50	17	-	0	30.02	-	29.92	-	0	-
12	60	58	56	49	48	46	72	-	54	17	-	1	30.03	-	29.89	-	0	-
13	61	59	57	49	48	47	72	-	53	15	-	0	30.05	-	29.92	-	0	-
14	63	60	57	52	49	46	77	-	51	24	-	0	30.12	-	29.98	-	0	-
15	59	58	57	50	49	46	72	-	57	13	-	0	30.08	-	29.95	-	0	-
16	61	60	58	50	49	46	72	-	53	16	-	0	30.1	-	30.01	-	0	-
17	61	58	56	50	48	46	72	-	54	15	-	2	30.09	-	29.98	-	0	-
18	60	58	57	50	49	48	72	-	58	12	-	2	30.04	-	29.95	-	0	-
19	61	57	53	50	49	46	72	-	54	13	-	0	30.02	-	29.89	-	0	-
20	62	58	53	52	49	45	72	-	51	15	-	1	30.09	-	29.98	-	0	-
21	61	58	54	49	48	46	77	-	53	20	-	0	30.08	-	29.95	-	0	-
22	61	58	55	50	47	45	72	-	48	17	-	4	30.16	-	29.98	-	0	-
23	63	59	55	54	46	41	77	-	41	28	-	0	30.2	-	30.09	-	0	-
24	59	54	49	46	43	39	67	-	50	15	-	2	30.12	-	29.92	-	0	-
25	59	56	54	45	44	42	67	-	45	10	-	0	30.11	-	29.98	-	0	-
26	59	56	54	46	44	42	67	-	47	9	-	0	30.16	-	30.04	-	0	-
27	59	54	49	48	46	43	77	-	51	18	-	4	30.12	-	29.98	-	0	-
28	59	56	54	48	46	45	77	-	53	10	-	0	30.1	-	29.98	-	0	-
29	60	57	54	48	47	45	72	-	53	15	-	0	30.12	-	29.95	-	0	-
30	60	58	56	49	48	46	72	-	55	9	-	0	30.08	-	29.95	-	0	-
31	62	59	56	52	49	47	77	-	55	16	-	2	30.04	-	29.89	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Aug	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	61	58	55	52	50	48	77	-	56	13	-	0	30	-	29.89	-	0	-
2	61	60	58	54	51	48	82	-	60	13	-	5	30.06	-	29.95	-	0	-
3	63	60	56	54	50	46	82	-	47	16	-	2	30.05	-	29.95	-	0	-
4	63	60	58	50	48	46	68	-	49	15	-	0	30.09	-	29.92	-	0	-
5	65	61	57	52	49	46	72	-	46	9	-	0	30.16	-	30.06	-	0	-
6	63	58	52	54	51	46	82	-	58	21	-	4	30.15	-	30.04	-	0	-
7	61	60	58	54	50	48	82	-	57	9	-	2	30.09	-	29.98	-	0	-
8	61	60	58	52	50	48	77	-	54	9	-	0	30.09	-	29.98	-	0	-
9	62	60	57	54	52	50	77	-	64	17	-	2	30.09	-	29.98	-	0	-
10	61	60	58	52	50	48	77	-	58	13	-	5	30.11	-	30.01	-	0	-
11	63	60	57	50	49	48	72	-	54	18	-	0	30.1	-	29.98	-	0	-
12	62	60	57	52	49	47	77	-	53	12	-	0	30.08	-	29.98	-	0	-
13	62	60	57	51	49	48	72	-	53	10	-	0	30.04	-	29.89	-	0	-
14	63	60	57	52	50	46	72	-	51	16	-	0	30.12	-	29.92	-	0	-
15	62	56	51	52	50	46	82	-	57	21	-	0	30.05	-	29.92	-	0	-
16	61	57	53	52	50	48	82	-	56	18	-	0	30.04	-	29.92	-	0	-
17	60	58	57	50	50	48	77	-	56	15	-	0	30.01	-	29.86	-	0	-
18	62	60	58	52	50	47	72	-	58	15	-	4	29.99	-	29.92	-	0	-
19	63	60	58	52	50	48	72	-	51	9	-	2	30.03	-	29.92	-	0	-
20	63	60	58	52	49	48	72	-	50	14	-	0	30.1	-	29.95	-	0	-
21	63	60	58	50	49	47	68	-	52	15	-	4	30.11	-	29.98	-	0	-
22	64	62	59	50	48	46	72	-	45	16	-	0	30.15	-	30.04	-	0	-
23	63	60	56	50	48	45	68	-	50	24	-	0	30.09	-	29.98	-	0	-
24	63	56	50	50	48	44	87	-	46	16	-	0	30.12	-	29.95	-	0	-
25	64	58	51	48	47	39	100	-	48	12	-	4	30.33	-	29.92	-	0	-
26	61	58	54	50	48	45	77	-	55	9	-	0	30.08	-	29.95	-	0	-
27	64	58	52	57	51	46	82	-	52	24	-	2	30.07	-	29.95	-	0	-
28	63	60	57	52	51	48	77	-	55	17	-	0	30.04	-	29.92	-	0	-
29	63	60	57	52	50	48	72	-	49	17	-	1	30.12	-	29.95	-	0	-
30	64	60	57	54	53	51	82	-	62	22	-	6	30.12	-	29.95	-	0	-
31	63	60	57	54	53	51	88	-	61	16	-	0	30.04	-	29.95	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Sep	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	63	60	58	54	52	50	82	-	61	21	-	4	30.04	-	29.89	-	0	-
2	62	60	58	54	51	50	77	-	58	10	-	2	30.07	-	29.89	-	0	-
3	64	62	60	54	52	48	77	-	48	14	-	0	30.06	-	29.95	-	0	-
4	65	60	55	55	52	50	88	-	53	20	-	2	30.12	-	29.98	-	0	-
5	63	60	57	57	51	46	82	-	59	22	-	2	30.12	-	30.01	-	0	-
6	63	60	58	52	50	48	72	-	53	14	-	2	30.09	-	29.92	-	0	-
7	63	61	59	52	52	50	77	-	61	12	-	0	29.98	-	29.89	-	0	-
8	63	60	57	55	53	50	94	-	56	13	-	0	30.04	-	29.92	-	0	-
9	61	60	58	56	54	52	88	-	64	16	-	0	30.09	-	30.01	-	0	-
10	63	61	59	54	51	47	82	-	51	16	-	0	30.06	-	29.92	-	0	-
11	63	61	59	54	53	52	82	-	63	15	-	0	30.01	-	29.86	-	0	-
12	65	62	59	55	52	50	82	-	52	15	-	0	30.07	-	29.92	-	0	-
13	66	62	59	56	54	54	82	-	56	29	-	0	30.12	-	30.04	-	0	-
14	63	59	55	55	54	52	88	-	64	21	-	0	30.09	-	29.95	-	0	-
15	64	62	59	54	54	52	82	-	58	17	-	0	30.08	-	29.95	-	0	-
16	61	60	59	54	52	51	82	-	61	18	-	0	30.09	-	29.95	-	0	-
17	63	60	57	52	51	48	82	-	52	17	-	0	30.1	-	30.01	-	0	-
18	66	62	58	55	52	50	82	-	53	25	-	0	30.14	-	30.04	-	0	-
19	63	60	57	54	51	48	77	-	55	23	-	0	30.12	-	30.04	-	0	-
20	63	60	57	54	51	48	77	-	56	18	-	0	30.06	-	29.92	-	0	-
21	63	60	58	52	50	48	77	-	52	13	-	1	30.11	-	29.86	-	0	-
22	64	62	59	52	49	46	72	-	46	14	-	4	30.17	-	30.01	-	0	-
23	66	62	59	52	49	48	77	-	43	21	-	2	30.17	-	30.04	-	0	-
24	64	60	57	52	51	48	77	-	54	18	-	2	30.09	-	30.01	-	0	-
25	65	62	59	52	51	49	77	-	52	21	-	2	30.09	-	29.98	-	0	-
26	64	62	59	52	50	48	77	-	50	13	-	2	30.04	-	29.95	-	0	-
27	64	61	58	52	49	43	72	-	45	15	-	0	30.05	-	29.92	-	0	-
28	66	63	60	52	51	50	72	-	49	16	-	0	30.06	-	29.95	-	0	-
29	66	62	59	50	49	48	68	-	50	14	-	2	30.04	-	29.95	-	0	-
30	64	60	55	54	51	46	77	-	55	20	-	4	30.04	-	29.86	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Oct	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	64	62	59	55	52	50	82	-	51	20	-	0	30.02	-	29.89	-	0	-
2	64	62	59	55	54	52	82	-	58	13	-	4	30.04	-	29.92	-	0	-
3	64	60	56	55	53	50	82	-	59	17	-	0	30.1	-	29.89	-	0	-
4	66	60	55	55	52	49	82	-	55	24	-	2	30.06	-	29.89	-	0	-
5	64	62	60	54	51	48	77	-	45	16	-	1	30.04	-	29.95	-	0	-
6	65	62	59	54	51	48	77	-	48	16	-	4	30.33	-	29.95	-	0	-
7	64	62	59	52	50	48	68	-	50	16	-	5	30.06	-	29.95	-	0	-
8	64	62	59	52	49	48	68	-	46	20	-	1	30.06	-	29.92	-	0	-
9	65	62	60	54	50	46	77	-	44	15	-	2	30.04	-	29.92	-	0	-
10	66	60	53	55	52	45	82	-	55	18	-	0	30.08	-	29.92	-	0	-
11	67	62	58	55	53	34	82	-	32	23	-	2	30.12	-	29.92	-	0	-
12	66	63	60	55	54	52	82	-	56	17	-	0	30.04	-	29.92	-	0	-
13	66	62	58	56	55	53	82	-	56	23	-	2	30.02	-	29.89	-	0	-
14	66	63	60	55	53	52	77	-	54	15	-	2	30.04	-	29.92	-	0	-
15	67	64	61	55	54	51	77	-	50	21	-	1	30.06	-	29.92	-	0	-
16	70	66	62	57	53	50	77	-	41	16	-	0	30.04	-	29.89	-	0	-
17	69	66	63	56	54	52	73	-	52	12	-	0	30.07	-	29.98	-	0	-
18	69	64	59	59	54	52	78	-	48	20	-	4	30.06	-	29.95	-	0	-
19	75	67	59	59	55	50	83	-	36	23	-	4	30.05	-	29.92	-	0	-
20	71	66	62	57	54	50	82	-	39	14	-	0	30.06	-	29.92	-	0	-
21	70	65	60	57	55	53	77	-	47	23	-	0	30.03	-	29.89	-	0	-
22	68	65	62	57	55	54	82	-	51	21	-	0	30.04	-	29.89	-	0	-
23	67	64	60	57	54	52	77	-	55	18	-	0	30.06	-	29.92	-	0	-
24	68	65	62	57	54	52	77	-	48	17	-	0	30.05	-	29.89	-	0	-
25	68	65	62	55	54	53	77	-	52	10	-	0	30.09	-	29.95	-	0	-
26	71	68	64	57	55	52	77	-	41	24	-	0	30.1	-	29.89	-	0	-
27	70	66	62	59	57	54	83	-	53	16	-	0	30.06	-	29.95	-	0	-
28	70	66	62	57	54	51	77	-	47	25	-	7	30.09	-	29.98	-	0	-
29	69	64	60	55	53	50	77	-	47	23	-	0	30.08	-	29.92	-	0	-
