#Gene product	SG1-2015-06-1	SG1-N-2013-04-2	SG1-2015-06-3	SG1-2015-06-2	SG1-2015-06-5	SG1-2015-06-4	SG1-N-2013-04-4	SG1-N-2013-04-3	SG1-N-2013-04-1	SG1-N-2017-02-5	SG1-N-2017-02-1	SG1-N-2017-02-2	SG1-N-2015-12-1	SG1-N-2015-12-3	SG1-N-2013-04-5	SG1-N-2015-12-5	SG1-N-2015-12-4	SG1-2014-09-5	SG1-2014-09-4	SG1-2014-09-1	SG1-2014-09-3	SG1-2014-09-2	SG1-N-2017-02-3	SG1-N-2015-12-2	SG1-2017-02-5	SG1-2017-02-4	SG1-2017-02-3	SG1-2017-02-2	SG1-2017-02-1	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-N-2017-02-4
Methoxy mycolic acid synthase MmaA3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.663194	0.0	0.0	0.0	0.0	0.316027	0.0	0.0	0.628705	0.84085	0.407391	0.599626	0.0	0.0	0.0	0.0	0.341683	1.321974	0.887226	2.81311	0.555846	0.297257	1.767206	0.684937	0.0	1.365967	0.314106	0.0
Biphenyl dioxygenase system ferredoxin subunit	0.0	4.48405	2.1962	2.33392	1.6715	0.0	0.0	1.64136	3.28517	1.65037	2.49061	1.82507	0.0	0.0	4.5244	0.0	0.0	1.95945	1.39883	0.0	1.96787	1.33882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.00872
Rhodocoxin reductase	0.5318342	3.0455741	1.870354	2.930438	1.9321076	3.21062	5.845509	4.008991	3.595733	5.289584	9.727164	1.982052	3.12198	0.9650819	2.164459	8.937145	10.54945	1.6580424	1.219066	2.1786714	1.9253537	1.31202266	2.5240539	1.8333957	4.83459	7.358127	3.007338	2.4430569	3.613004	11.316503	4.926338	9.033433	4.23873	7.230158	3.716618
tRNA(Ile)-lysidine synthase	28.031762	72.4688069	67.703666	115.208219	80.054448	71.4989654	55.2173534	41.468914	66.71336	46.953519	38.1336786	61.6087827	82.0674779	58.8639778	35.644469	57.9828044	68.8953102	44.925013	35.840758	57.3578881	28.7380193	23.8792309	69.489646	55.3049976	30.3247542	40.2376225	19.7573211	34.750533	32.4826209	42.09054	46.073165	45.8482188	36.9946506	62.2310426	34.921584
Photosystem I P700 chlorophyll a apoprotein A1	7.0894	22.4004	31.5808	57.2154	33.2107	26.316	23.2808	14.925	19.7443	18.4019	9.402079	34.5168	33.8033	23.0252	5.63118	23.309281	27.92791	6.99801	16.342	13.8214	11.0017	2.48463	27.3245	32.4361	7.345961	14.67181	3.796596	12.0515	13.42265	16.09373	10.243334	17.03176	7.887754	22.734501	11.0819
Photosystem I P700 chlorophyll a apoprotein A2	38.30569	109.3814	133.452	236.79521	123.49621	119.22945	72.7356	56.08813	84.4869	96.207	54.716099	161.55474	161.05571	121.3428	22.52026	93.50514	99.13032	22.69986	62.90431	57.80608	37.99954	9.52142	103.756	115.1196	35.936016	26.0164	23.261236	40.42074	26.6018	44.55603	56.33469	69.87866	67.041364	59.841624	42.63533
Ribonucleotide monophosphatase NagD	8.050262	8.494268	4.549426	0.477569	2.340327	4.126851	10.123892	16.089133	9.52292	4.842192	9.579875	12.101189	9.826417	8.510158	22.458894	11.397984	7.018763	7.457789	4.72739	0.784249	9.555223	9.6445563	13.258918	4.676093	8.130029	11.840982	12.645454	9.808172	21.722908	10.3356204	9.8915769	3.67794	8.085092	14.058675	4.7558418
Phthiocerol synthesis polyketide synthase type I PpsE	0.0	0.131782	5.22481	1.06044	1.70735	1.61834	0.0	0.0	0.14412	0.0	0.0996995	0.0	0.0	0.109608	0.0	0.499024	6.47592	0.0	2.74181	0.31693	1.33373	0.329238	0.0	0.13412	0.142321	0.0	0.0	0.0	1.64309	0.132477	0.53285	0.210175	0.143671	4.809	0.0
Peptidoglycan glycosyltransferase MrdB	15.5139234	44.410288	50.027143	53.7381789	47.4745033	48.9794047	45.050368	50.33972	51.9715492	73.3612218	71.6034242	45.1032721	81.842856	66.9929314	46.9257223	95.393079	100.005682	24.4541933	41.341239	40.0391288	42.246304	38.0269008	54.9855813	49.605306	66.64733	76.0125589	61.282869	44.6477918	55.653833	82.8974863	102.3919804	105.474504	64.865831	89.626495	48.8558469
Glycine cleavage system transcriptional activator	1.780438	7.9960516	10.250056	6.62603	7.021001	8.980416	17.000285	13.578939	8.605041	10.4890741	10.325532	6.8722294	14.889234	20.642572	8.1287723	9.6906204	3.640758	5.733902	8.08626	8.5487194	6.324953	3.64892	14.090921	6.641227	7.849013	2.863696	15.063008	5.4338615	8.119281	2.6317956	15.176639	3.8795751	10.360484	2.7981163	8.683073
4-hydroxy-2-oxo-heptane-1%2C7-dioate aldolase	41.102006	23.547504	25.411983	19.2514499	31.168191	38.0016966	24.387111	32.698059	24.4822315	21.775987	46.577072	32.715124	26.965989	23.86036	41.121767	50.68232	29.264411	34.542411	29.264127	29.1548893	30.9432817	39.408957	35.899425	29.570356	43.7356697	58.660733	49.040328	107.368075	54.070022	21.066637	31.2915832	21.606144	51.257054	37.682168	29.456266
Menaquinone reductase%2C multiheme cytochrome c subunit	32.145845	40.2314794	93.087328	112.2351279	91.714248	77.475011	41.9396126	39.711409	42.670838	48.306637	34.6811109	51.902019	71.573632	49.923726	36.9316184	38.9278528	54.1725994	59.036254	45.8084753	70.855451	42.05282	42.6552213	64.43442	46.8826402	36.970735	22.7829901	24.330817	27.34153	22.8323671	34.590021	59.887837	51.1988229	37.7890212	43.0528371	28.226716
Trigger factor	24.846867	61.4786208	90.7193	120.529823	86.2967146	77.0647299	58.573967	48.4754166	51.5676393	48.3619506	41.3165862	72.5550226	82.740717	56.7823626	34.2282049	71.945077	76.475353	35.61776	43.9207405	54.3195719	38.5629	32.4491905	71.410953	65.5514981	29.2265115	47.755342	25.019973	32.85501547	34.949192	42.59697413	53.496349	61.512572	53.703747	59.677835	38.2923974
Thioredoxin-like reductase	0.227464	3.22531	1.883709	2.005221	2.27164	1.963309	2.793346	3.39986	3.9912	3.47136	1.518499	0.839663	2.931188	0.849436	1.48211	7.169713	6.46824	1.959302	1.358188	2.53538	1.474285	1.356138	3.7893	2.82456	4.09383	9.086901	0.865975	2.138476	4.12036	12.00593	5.72552	9.841554	6.725354	4.42837	0.378657
18 kDa heat shock protein	222.2942485	324.7866086	163.3864412	169.6439036	195.9162627	231.6277525	341.1699478	285.8528586	327.43220279	136.70105161	163.3499059	217.6203555	218.0854436	196.34332632	370.93846316	155.8975128	151.17079849	283.878751	171.8301402	277.8753954	159.9598757	278.1774055	212.8826748	199.4836583	175.626677	176.820087	218.6960287	198.5519217	236.9492631	110.0479947	152.7452362	98.89511	142.2697305	150.6948877	189.3973989
putative N-acetyltransferase YtmI	7.5950573	9.957955	3.6182994	9.058218	7.4910073	10.412761	4.720042	6.842901	10.407	2.976281	2.983047	11.327595	4.201616	2.765129	12.784457	2.634339	1.620303	14.17952	9.625293	15.804402	8.5793698	17.28045	4.322569	2.398657	6.632867	4.701817	2.217545	3.830782	3.881453	1.075505	2.414298	0.4976515	3.28466	2.0371953	0.757064
Alkanesulfonate monooxygenase	115.577337	86.031951	102.0844961	107.7360896	93.8187549	88.855424	102.036882	101.9720979	87.2819186	82.3055214	86.4710483	106.4090257	96.6696766	91.2720146	86.5099375	90.92078563	67.229669	70.8904392	76.4440989	83.9199834	71.1257579	59.8080196	66.6791854	105.7951406	94.9418745	86.774922	73.2187428	68.1054915	84.6958383	43.2768999	71.7295736	67.0827442	73.3399451	58.0793731	123.3067385
Uric acid permease PucK	203.8611891	73.127282	52.0243445	65.1391251	84.0514484	68.2469599	85.4578994	76.496766	70.2889172	25.6048391	27.3686845	54.7828081	52.3409248	48.2090195	89.6264141	30.83582	27.6502127	125.8893012	107.1462553	124.2824036	81.8955346	113.3648196	54.4450905	49.4417545	31.267614	33.9058163	31.8496673	17.8843529	42.688974	18.7560422	31.138985	27.015222	25.7315075	36.4798056	17.3782712
thiol peroxidase	18.3380027	24.307673	24.181496	14.124947	15.112333	22.372716	27.32083	29.711757	22.530417	24.239703	32.6969459	25.61841	28.111578	27.5275277	34.901865	30.858121	26.323773	16.216575	20.695891	15.0435131	17.533366	17.732652	27.7167139	25.844991	27.57482	35.224	43.063877	32.226682	49.145418	25.747651	26.590146	10.724076	29.280561	23.8657345	34.647141
Toxin RTX-I translocation ATP-binding protein	9.977839	4.01887	4.878044	3.939778	4.29976	2.916607	6.016643	4.250402	3.81707	3.23314	7.921854	11.5294039	6.7316913	8.689552	2.088766	14.408804	5.50983	5.919399	9.023507	10.469371	3.716476	3.0353308	3.328189	7.071089	4.57586	23.7323015	7.71711	8.182546	6.885073	2.123575	10.493565	3.426507	15.538351	17.716853	1.989597
Carboxypeptidase 1	293.129291	172.5694057	129.0256626	128.2294475	161.0568132	176.4804038	166.2555412	180.0655101	183.4018194	141.8844396	162.4926966	154.1734714	148.0468481	159.8927127	213.500532	160.8499929	119.277049	256.8739708	158.5777525	259.7338303	165.0904256	219.9964964	156.9125998	171.40562	128.1917889	205.0187924	197.746943	165.9023888	158.3781205	97.667502	158.030963	94.6874968	131.4426953	132.8019957	99.7239078
N-glycosylase/DNA lyase	23.962639	0.397986	1.850882	3.125119	5.219841	3.870798	0.655041	0.574166	1.787859	0.236268	1.0418847	0.0	0.3251313	0.511218	0.0	0.578148	0.772735	2.90897	4.6620437	5.258056	5.256923	3.1202	0.0	0.0	0.0782613	0.0644969	1.0086317	0.633513	0.22717	0.109529	0.548694	0.172818	1.720064	1.324218	0.666422
Histidine protein kinase DivJ	27.223126	49.280848	25.384427	18.536599	19.302605	22.2817412	32.478057	33.356056	49.9457032	28.921387	29.6378513	32.838248	43.860274	40.454146	32.505334	35.882606	37.380968	16.0388678	24.253172	20.105599	23.098745	22.5043095	23.84281	36.9897234	31.5151653	60.076196	40.25695	37.352662	47.301087	23.4829029	39.648676	26.8081667	35.549404	56.527141	31.2402008
Aerobic glycerol-3-phosphate dehydrogenase	21.5496918	49.74153	73.229162	97.9567538	76.0395394	64.944034	49.256221	40.014688	41.535835	43.5007505	35.338588	57.438596	73.982146	59.0968557	30.9692798	54.9159727	58.251825	35.353832	35.7759156	43.507682	30.4203656	26.334264	60.872172	61.46983	25.9405743	25.749205	20.541401	28.684955	26.6088955	40.738694	49.747897	53.1149649	35.397488	60.208511	27.2125842
Protein TolB	131.4566753	168.7360233	194.6563877	187.8397412	169.5948608	173.8948679	182.5514957	169.1313383	160.0204848	307.1095526	257.2277813	146.1794145	263.4379155	227.2405834	151.7943734	216.9817664	289.9809962	114.8070151	190.1824872	139.3591027	180.863215	140.4037807	145.1706842	176.8708942	236.1140278	187.4642271	173.9196557	179.8827378	187.3972099	291.8593331	346.2383798	282.9273517	262.3586374	339.9369814	184.4560529
Cell cycle protein GpsB	0.336906	0.704037	0.417243	0.113912	0.304348	0.259535	1.395821	2.315465	0.308826	1.201874	2.66952	0.188818	0.0671758	0.117507	3.772709	0.6484149	1.010979	0.58298	1.51683	1.34853	1.1383	1.52682	0.237207	0.0	0.318322	0.0	0.449181	0.907503	0.399583	0.154538	1.289035	0.0	0.947686	2.6548346	0.0767783
Isocitrate lyase 1	11.823943	16.6672322	11.726483	5.6067506	9.554027	5.7733882	28.71847	23.489079	16.4064796	17.3815703	16.5492011	27.2322497	20.051349	20.8716665	8.2789117	14.2398244	11.775984	10.6324575	12.475705	11.782065	13.4691097	5.2362594	31.158432	17.628963	11.1845512	6.1971798	14.426713	12.385784	11.222087	12.720511	18.661925	7.965295	26.131266	11.6022308	26.512789
Serine/threonine-protein kinase pkn5	6.539735	13.19357	7.70243	8.020152	7.524822	6.315412	9.039121	8.084805	15.32526	18.478017	18.619445	14.582912	21.45527	23.155935	7.75934	16.209431	23.70579	4.750506	5.929773	7.106401	4.596298	3.683483	15.91665	12.310736	7.559649	4.281856	4.982182	5.877977	5.431208	6.200228	9.296558	8.69166	32.63418	8.15413	10.04299
Serine/threonine-protein kinase pkn6	0.46493	0.145401	1.44117	1.5927	1.41502	1.92132	0.0797854	0.111547	0.159694	0.406343	0.0278513	2.118899	2.107818	0.121566	1.8625223	0.0707281	1.930344	1.24449	0.0	1.88459	1.6604621	1.620676	1.2967645	0.222948	0.0	0.0	0.0	1.606067	0.0326047	0.47685	0.110254	0.346184	0.157599	1.4040241	0.0
HTH-type transcriptional repressor Bm3R1	21.742662	42.59986	72.134926	103.050759	75.631495	61.92903	43.72394	28.391929	39.09747	31.140357	21.370745	53.42564	60.570185	44.43339	20.1877843	33.840868	48.441399	28.014479	30.6336546	35.705791	27.8754	20.539716	52.165325	48.173499	20.8824182	13.6373546	12.886043	21.744477	20.590334	20.732182	52.57271	34.228559	29.029236	40.532868	24.173539
Putative penicillin-binding protein PbpX	45.5207338	70.3234259	46.709509	70.7747028	60.8131181	52.303272	65.0905311	54.696991	77.2065471	39.2935336	27.909007	44.8920449	47.126537	36.608311	47.9618779	22.3889779	27.3403025	48.477493	33.3621928	66.6384718	26.0845086	44.1404609	40.546075	37.078306	23.685282	21.1057189	16.722277	33.9697722	20.4826456	9.9096675	19.6805751	19.5094932	19.7711191	24.0375392	31.118516
Bifunctional protein PyrR	58.378564	94.7739027	161.464089	197.109539	148.1148153	126.349217	92.9995778	86.157635	82.372128	155.240374	132.224308	107.7026047	166.1485849	139.5907795	81.0312316	153.349852	164.570916	94.773192	100.220396	95.734388	96.769405	87.4508868	130.4130505	129.0357313	106.0009039	93.2342252	87.9850193	81.922428	82.9217387	150.769341	145.547446	177.9692478	116.568542	169.347875	83.878012
Alkaline elastase YaB	7.0932981	4.386474	0.793099	3.15379	2.0740797	1.379832	7.279263	3.855438	5.630459	3.180947	1.508071	5.798523	5.974536	5.057687	1.43577	2.525549	1.584252	0.839862	1.0359595	2.301124	1.516547	1.875864	5.917675	3.232078	3.268914	4.298343	3.499158	2.235953	6.589181	0.1771913	2.686678	8.148606	2.2309994	2.5455346	3.1297532
Heparin-sulfate lyase	22.0568233	78.0180016	34.0245364	36.9725987	33.5138439	34.5026488	40.927619	42.4427314	77.274401	42.6956589	54.5316048	64.8584309	56.7860243	54.3681593	58.801823	50.1393699	46.1197083	31.0638596	33.9700471	29.0030539	33.8170698	26.5262041	43.5922208	52.5227914	39.2947109	40.8060599	44.80555	89.8647188	69.8871743	32.0570042	34.0322039	31.3234077	46.0060193	47.5163999	41.4771107
ATP synthase subunit b%2C sodium ion specific	36.1786031	55.376469	75.409056	74.463516	68.283549	69.294334	51.978357	45.375952	50.48641	83.336355	99.927001	61.168558	91.182257	95.9700945	50.29687	86.8368764	91.387936	49.380537	51.669192	43.918857	50.128787	66.848613	67.582706	87.283603	71.6438973	55.468856	48.86792	61.697644	46.3354621	140.198999	106.638799	113.1151471	89.383343	109.504598	67.7623503
Outer membrane protein MIP	0.0	0.0	0.0	0.0	0.0	0.34976	0.603396	0.0	0.309827	0.604243	0.0	0.3483	0.0	0.47057	0.0	0.265962	0.0	0.0	0.0	1.02459	0.289807	0.0	0.712008	0.288272	0.307341	0.0	0.0	0.0	0.0	0.285013	2.0178	0.0	0.313922	0.0	0.307174
HTH-type transcriptional repressor OpcR	0.9665002	5.195479	1.4067595	3.564397	2.7072997	2.9043071	2.8154099	4.442086	4.787947	3.403108	3.762912	6.443864	4.219004	3.533424	6.710245	2.565188	3.355845	2.6448405	0.5251686	3.762815	0.6967336	1.7056896	8.338613	4.800262	3.999366	6.048578	4.7050128	6.162723	8.114678	1.9492349	3.574482	1.718266	4.615366	5.145731	3.2363386
Bifunctional pantoate ligase/cytidylate kinase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59335	0.0	0.0	1.91069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76223	0.0	1.66577	1.63786	0.0	0.0	3.33004	0.0	3.79935	0.0	0.0
Indole-3-glycerol phosphate synthase	350.0242739	396.5512383	365.156131	405.0031662	383.4130331	354.504205	380.5309367	347.8020045	379.0584268	472.2737036	393.6906	360.4225624	460.6617599	385.2139186	347.9621067	391.2655583	400.0836648	339.2200116	316.6825528	347.7517323	319.2360478	351.9311144	394.1635925	441.1558808	285.9181155	296.4286074	311.7028412	361.2529692	353.2753426	431.9021236	364.5267957	331.288947	358.9289413	375.3113737	314.5951576
Carboxypeptidase T	0.0	0.3238	0.917022	0.512609	0.0	0.396893	0.0	0.0	0.0	0.0	0.0	1.18442	0.0	0.266539	0.0	0.300777	1.122276	0.388869	0.286015	0.387285	0.329307	0.314483	0.537667	0.326669	0.274611	0.0	0.0	0.257377	1.79855	1.597303	0.0	3.88654	1.274093	1.275725	4.34165
8-oxo-dGTP diphosphatase	69.528169	39.217911	38.60183	41.0782247	40.9723	37.6928432	51.4587998	46.1372675	35.239149	26.522042	25.1933135	36.0357276	39.1267173	40.5660097	48.939193	36.0222679	37.054728	77.114987	31.446934	82.308787	34.631986	78.2045973	46.2247607	42.0129804	33.120884	25.143382	22.7721727	28.1588271	28.2757338	13.7444629	28.8871466	21.795867	26.8214161	24.425524	15.1085911
4-sulfomuconolactone hydrolase	81.1562047	43.166165	41.867331	48.1331487	48.8295381	45.770889	50.4100664	36.485076	42.059327	31.254493	34.095932	40.999302	38.841328	29.059047	39.698555	28.731453	34.9776614	58.0448391	36.092627	56.7697026	33.7890129	43.1624121	32.643356	37.2023756	18.0911615	17.7870061	19.3529304	16.8569757	15.4315764	27.1385852	21.0116574	25.8745825	24.2410205	14.320388	18.8664804
Cadmium-induced protein CadI	5.341518	3.001196	11.48836	10.32215	7.947821	8.437436	9.056642	2.475194	5.25161	12.466978	46.99176	22.75325	10.819056	13.48039	8.12226	11.700672	25.401201	7.053996	12.001244	7.044411	7.734105	6.8187655	16.815947	9.28829	5.972082	13.4406397	9.574571	4.259437	9.631726	52.740664	10.701524	15.34682	16.5022181	22.173513	10.225879
60 kDa chaperonin	454.3652094	520.47688	407.3854303	399.7952503	409.4955497	393.9015739	467.47428311	458.2819913	543.9607775	491.3447936	565.0636905	492.167983	520.9884265	533.7956989	470.92155332	539.4089505	479.15569602	411.4114864	377.0531012	422.717554799	350.3419176	404.792637	432.3567993	538.95898033	419.6720436	425.29973273	493.9929711	611.7704946	559.0986916	354.3400394	451.0112514	321.6355437	450.0039533	419.30303183	449.9680008
Pyruvate formate-lyase 1-activating enzyme	0.474426	0.29901	0.423393	0.960978	1.77505	1.65211	0.0	0.15037	0.0	0.47519	0.112844	0.367005	0.850077	0.248459	0.192192	0.0	0.188128	0.888432	0.0	1.4375	0.0	0.298017	0.125361	0.0	0.0	0.0	0.0	0.0	0.0	0.600754	0.151123	0.0	0.0	0.139777	0.0
N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans%2Coctacis-undecaprenol 4-epimerase	222.4349135	172.14044	218.1896111	296.2378026	203.9419776	186.0954945	152.9734095	142.6518689	159.2762098	206.4941877	179.3398629	174.5301076	232.5690437	206.6927142	129.6979514	155.172215	161.2658079	149.3791623	116.848015	186.186556	101.4296634	139.2999952	187.883968	210.8470975	127.5543628	100.9026947	99.6982478	109.8972381	94.2345301	193.0457893	129.4779343	184.5274184	142.0595684	147.7911912	114.7017277
Putative phosphatase	3.628577	3.118672	7.55746	3.44572	2.587825	4.871278	2.460554	3.102265	3.115812	4.334011	1.9490067	13.834283	3.476463	3.8806	1.5167867	1.4983133	0.269214	4.769075	1.972701	8.702197	1.889599	2.954105	2.071415	6.12109	0.567545	0.304628	0.913524	1.547636	0.509796	0.0343259	0.6311353	1.720727	0.664945	1.419777	0.533705
Antitoxin HipB	0.0	0.0	0.73079	0.0	0.0	0.0	0.0	0.344909	0.0	0.0	0.258929	0.0	4.06782	2.28439	0.220619	0.16221	0.216106	0.40947	0.449156	0.0	0.697151	0.0854413	0.432196	1.92239	0.185679	1.06313	8.67869	0.0	0.305507	0.0	0.0	0.0	0.56405	0.160671	0.0
Aspartate carbamoyltransferase regulatory chain	267.5269196	242.2925111	145.4657537	186.1608301	204.2773621	224.4342487	229.3916102	228.7357861	255.2869297	191.8253874	185.8908959	226.1728849	167.2468623	179.2964616	278.8688083	164.4427529	175.6185854	241.8376309	202.0580857	244.8620517	190.1683412	247.086564033	237.3078689	194.5647398	200.743742	195.2892709	213.8026942	235.0620415	247.6564425	134.853232	130.1797598	152.4814261	140.2901845	148.5353729	183.8119142
Putative quercetin 2%2C3-dioxygenase	1.158458	7.76899	1.915486	1.737282	1.436272	0.855053	5.44395	8.10371	3.507372	3.91618	1.5303817	5.478444	2.59412	2.363319	0.987381	4.15644	2.76531	1.731953	10.656188	1.997754	16.832318	2.081977	3.44012	1.28426	2.441519	4.846264	2.046749	9.408869	2.729261	6.38977	5.014584	5.009984	5.810294	3.804715	2.061852
UDP-N-acetylmuramate--L-alanine ligase	19.7553455	48.3332011	68.212887	104.807444	64.9753824	68.7323333	54.359623	41.872985	43.6660784	39.5711658	25.7863492	48.625273	71.161871	45.8068905	25.7933046	54.147161	55.6012576	22.965261	33.8977261	41.41194	27.651206	18.22522593	56.848057	51.1134172	23.91257637	34.3275907	25.272904	28.47578	27.335296	41.105965	45.791719	53.981207	37.0229176	53.377124	27.3208737
scyllo-inositol 2-dehydrogenase (NAD(+))	538.4500859	445.2257581	391.8487263	424.0097936	416.85977336	372.2189656	401.8564094	372.0356311	438.3473215	366.2559066	359.2241387	443.1233903	376.2689027	384.3898629	333.6800082	332.2095627	311.0550127	395.3853494	302.1362862	413.2955208	289.4336266	327.44954286	434.9076664	414.747306	327.2010572	284.4677166	296.5803322	340.740085	310.8531087	260.0869185	277.0816856	300.3239149	303.9284703	306.4377907	380.0900872
Protein ArsC	9.947795	12.190241	32.32141	24.250492	27.84397	24.840726	29.100692	21.08008	13.773282	40.820999	66.037946	47.41522	34.94877	28.384137	21.541006	37.049324	53.578367	23.587314	19.43794	36.672512	24.1396815	20.839029	61.850812	39.484655	17.755894	35.682579	16.110998	13.423658	22.537549	63.844644	18.899788	43.949397	27.364806	48.000702	22.362021
Putative TrmH family tRNA/rRNA methyltransferase	19.2943668	69.0567263	74.637765	102.502937	75.857721	67.048868	61.4412756	49.699661	57.1475317	50.5992744	45.6078356	62.6752398	86.546653	61.535291	30.053585	57.478503	71.864574	33.216352	38.780031	41.1581073	31.106084	26.7124512	65.1129712	64.657395	38.462134	37.6595821	27.203266	35.0611575	39.2567189	58.5620944	58.9926978	69.816004	38.515599	65.583411	31.913912
